timestamp,time,coverage
1746497840.16282,09:17:20,5
1746497845.165317,09:17:25,16
1746497850.160389,09:17:30,0
1746497855.155074,09:17:35,2
1746497860.855304,09:17:40,0
1746497865.156537,09:17:45,0
1746497870.164534,09:17:50,0
1746497875.159605,09:17:55,0
1746497880.161771,09:18:00,0
1746497885.163008,09:18:05,0
1746497890.858858,09:18:10,0
1746497895.166573,09:18:15,0
1746497900.161244,09:18:20,0
1746497905.15365,09:18:25,0
1746497910.157902,09:18:30,1
1746497915.152884,09:18:35,0
1746497920.857686,09:18:40,0
1746497940.523916,09:19:00,4
1746497948.72679,09:19:08,0
1746497961.482912,09:19:21,0
1746497982.256671,09:19:42,0
1746498013.679143,09:20:13,0
1746498061.401335,09:21:01,0
1746498136.508849,09:22:16,0
1746498255.843496,09:24:15,0
